Producto,PrecioMín,PrecioMáx,URL,Categoría
Tapón de goma cónico perforado # 3 (17×22-25),2000,,https://reachem.cl/producto/tapon-de-goma-conico-perforado-3-17x22-25/,Envases
"Tapón de goma cónico sólido amarillo # 3 (8,5×10,5-16,5)",2000,,https://reachem.cl/producto/tapon-de-goma-conico-solido-amarillo-3-85x105-165/,Envases
"Tapón de goma cónico sólido rojo # 22 (9,5×12,5-17,5)",2200,,https://reachem.cl/producto/tapon-goma-solido/,Envases
Tapón de goma cónico sólido rojo # 10 (21×25-32),2200,,https://reachem.cl/producto/tapon-de-goma-conico-solido-rojo-19-21x25-32/,Envases
Goma arábiga (acacia) grado alimenticio,2200,24500,https://reachem.cl/producto/goma-arabiga-acacia-grado-alimenticio/,Envases
Tapón de goma cónico perforado # 4 (17×24-24),2300,,https://reachem.cl/producto/tapon-de-goma-conico-perforado-4-17x24-24/,Envases
Bolsa doypack mediana de papel kraft con ventanilla 16×26 (500gr) 10 unidades,2460,,https://reachem.cl/producto/bolsa-doypack-mediana-de-papel-kraft-con-ventanilla-16x26-500gr-10-unidades/,Envases
Tapón de goma cónico sólido rojo # 11 (26×30-32),2500,,https://reachem.cl/producto/tapon-de-goma-conico-solido-rojo-11-26x30-32/,Envases
Frasco de vidrio perfumero redondo con bomba vintage 100 cc,2800,,https://reachem.cl/producto/frasco-de-vidrio-perfumero-redondo-con-bomba-vintage-100-cc/,Envases
"Tapón de goma cónico sólido rojo # 13 (26×31,5-35)",2900,,https://reachem.cl/producto/tapon-de-goma-conico-solido-rojo-13-26x315-35-copia/,Envases
Goma laca,3000,38500,https://reachem.cl/producto/goma-laca/,Envases
Tapón de goma cónico perforado # 5 (20×26-32),3200,,https://reachem.cl/producto/tapon-de-goma-conico-perforado-5-20x26-32/,Envases
"Tapón de goma cónico sólido rojo # 17 (31×40-38,5)",3300,,https://reachem.cl/producto/tapon-de-goma-conico-solido-rojo-17-31x40-385/,Envases
Bolsa doypack grande de papel kraft con ventanilla 20×30 (1 Kg) 10 unidades,3360,,https://reachem.cl/producto/bolsa-doypack-grande-de-papel-kraft-con-ventanilla-20x30-1-kg-10-unidades/,Envases
Tapón de goma cónico sólido rojo # 18 (34×40-42),3500,,https://reachem.cl/producto/tapon-de-goma-conico-solido-rojo-18-34x40-42/,Envases
"Tapón de goma cónico sólido rojo # 19 (43×52,5-43,5)",3900,,https://reachem.cl/producto/tapon-de-goma-conico-solido-rojo-19-43x525-435/,Envases
Copal blanco 50 gr,3900,,https://reachem.cl/producto/copal-blanco-50-gr/,Envases
Caja magnética diferentes tamaños y colores,3900,8900,https://reachem.cl/producto/caja-magnetica-diferentes-tamanos-y-colores/,Envases
Tintura de benjui,3900,37900,https://reachem.cl/producto/tintura-de-benjui/,Envases
Tapón de goma cónico perforado # 6 (24×28-32),4000,,https://reachem.cl/producto/tapon-de-goma-conico-perforado-6-24x28-32/,Envases
"Tapón de goma cónico sólido rojo # 20 (44×58-46,5)",4300,,https://reachem.cl/producto/tapon-de-goma-conico-solido-rojo-20-44x58-465/,Envases
Tapón de goma cónico perforado # 7 (26×32-35),4500,,https://reachem.cl/producto/tapon-goma-perforado/,Envases
Frasco Químico de Vidrio Graduado Transparente Tapa Azul Calidad A,5900,16500,https://reachem.cl/producto/frasco-quimico-de-vidrio-graduado-transparente-tapa-azul-calidad-a-60-ml/,Envases
Benjui en polvo (incienso negro),6500,69900,https://reachem.cl/producto/benjui-en-polvo-incienso-negro/,Envases
Almizcle artificial para quemar,8000,79000,https://reachem.cl/producto/almizcle-artificial-para-quemar/,Envases
Frasco químico de vidrio graduado ámbar tapa azul diferentes tamaños,13900,30000,https://reachem.cl/producto/frasco-quimico-de-vidrio-graduado-ambar-tapa-azul-diferentes-tamanos/,Envases
